id,image_name,image_id,vegetation,buildings
0,data\mosaics\images\18\1843_5173_08_CC46-tile_0x0.tif,0,0,1
1,data\mosaics\images\18\1843_5173_08_CC46-tile_0x1000.tif,1,0,1
2,data\mosaics\images\18\1843_5173_08_CC46-tile_0x500.tif,2,0,1
3,data\mosaics\images\18\1843_5173_08_CC46-tile_1000x0.tif,3,0,1
4,data\mosaics\images\18\1843_5173_08_CC46-tile_1000x1000.tif,4,1,1
5,data\mosaics\images\18\1843_5173_08_CC46-tile_1000x500.tif,5,1,1
6,data\mosaics\images\18\1843_5173_08_CC46-tile_500x0.tif,6,1,1
7,data\mosaics\images\18\1843_5173_08_CC46-tile_500x1000.tif,7,0,1
8,data\mosaics\images\18\1843_5173_08_CC46-tile_500x500.tif,8,1,1
9,data\mosaics\images\18\1844_5173_08_CC46-tile_0x0.tif,9,1,1
10,data\mosaics\images\18\1844_5173_08_CC46-tile_0x1000.tif,10,0,1
11,data\mosaics\images\18\1844_5173_08_CC46-tile_0x500.tif,11,1,1
12,data\mosaics\images\18\1844_5173_08_CC46-tile_1000x0.tif,12,1,1
13,data\mosaics\images\18\1844_5173_08_CC46-tile_1000x1000.tif,13,1,1
14,data\mosaics\images\18\1844_5173_08_CC46-tile_1000x500.tif,14,1,1
15,data\mosaics\images\18\1844_5173_08_CC46-tile_500x0.tif,15,1,1
16,data\mosaics\images\18\1844_5173_08_CC46-tile_500x1000.tif,16,0,1
17,data\mosaics\images\18\1844_5173_08_CC46-tile_500x500.tif,17,1,1
